Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Jatiluhur,69.9,2.22,0.14,1165,101
Sukasari,15.9,1.35,0.03,174,105
Maniis,33.1,1.31,0.07,462,104
Tegal Waru,50.4,1.4,0.1,688,104
Plered,79.4,2.57,0.16,2521,103
Sukatani,72.7,2.3,0.14,762,103
Darangdan,68.4,1.33,0.14,1015,102
Bojong,49.3,1.04,0.1,717,106
Wanayasa,41.7,0.77,0.08,736,104
Kiarapedes,27.6,0.21,0.06,529,105
Pasawahan,47.7,1.07,0.1,1289,101
Pondok Salam,30,0.64,0.06,681,103
Purwakarta,174.7,1.33,0.35,7037,100
Babakancikao,56,1.84,0.11,1320,100
Campaka,45.9,1.74,0.09,1053,100
Cibatu,31.2,0.63,0.06,552,100
Bungursari,56.4,1.12,0.11,1031,99
