Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Jatiluhur,77.9,1.85,7.45,1296,103.7
Sukasari,18.2,1.85,1.74,198,106.7
Maniis,37.6,1.52,3.6,525,106.5
Tegal Waru,56.2,1.93,5.37,767,105.3
Plered,87.5,1.68,8.36,2778,103.4
Sukatani,81.3,1.95,7.77,852,103
Darangdan,74.6,1.79,7.13,1107,103.3
Bojong,55.7,1.76,5.33,811,106
Wanayasa,44.7,1.15,4.27,790,105.1
Kiarapedes,30,1.92,2.87,575,105.6
Pasawahan,52.5,2.06,5.02,1419,103.3
Pondok Salam,32.2,1.62,3.08,730,103.9
Purwakarta,183.6,0.89,17.56,7394,101
Babakancikao,64.1,2.39,6.13,1513,99.5
Campaka,53.5,2.15,5.12,1227,101.5
Cibatu,32.7,1.55,3.12,578,100.1
Bungursari,63.6,1.74,6.08,1164,102.6
