Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Jatiluhur,76.5,1.87,7.44,1273,103.6
Sukasari,17.9,1.87,1.74,194,106.6
Maniis,37.1,1.55,3.6,517,106.4
Tegal Waru,55.1,1.96,5.36,753,105.4
Plered,86,1.7,8.36,2732,103.6
Sukatani,79.7,1.98,7.75,835,103.4
Darangdan,73.3,1.82,7.12,1087,103.4
Bojong,54.7,1.79,5.32,797,106.1
Wanayasa,44.2,1.18,4.3,781,105.2
Kiarapedes,29.4,1.95,2.86,564,105.7
Pasawahan,51.4,2.09,5,1390,103.4
Pondok Salam,31.7,1.65,3.08,718,104
Purwakarta,182,0.92,17.69,7328,101.1
Babakancikao,62.6,2.42,6.09,1477,99.7
Campaka,52.4,2.17,5.09,1201,101
Cibatu,32.2,1.58,3.13,569,100.3
Bungursari,62.5,1.76,6.08,1144,102.4
