Kecamatan,Ibu Kota Wilayah,Luas Wilayah (Km2),Persentase Terhadap Luas Wilayah,Jumlah Pulau
Jatiluhur,NaN,60.11,6.19,
Sukasari,NaN,92.01,9.47,
Maniis,NaN,71.64,7.37,
Tegal Waru,NaN,73.23,7.54,
Plered,NaN,31.48,3.24,
Sukatani,NaN,95.43,9.82,
Darangdan,NaN,67.39,6.94,
Bojong,NaN,68.69,7.07,
Wanayasa,NaN,56.55,5.82,
Kiarapedes,NaN,52.16,5.37,
Pasawahan,NaN,36.96,3.8,
Pondok Salam,NaN,44.08,4.54,
Purwakarta,NaN,24.83,2.56,
Babakancikao,NaN,42.4,4.36,
Campaka,NaN,43.6,4.49,
Cibatu,NaN,56.5,5.81,
Bungursari,NaN,54.66,5.63,
